date,year,quarter,month,region,segment,channel,product_category,product_name,sku,units_sold,unit_price,discount_pct,gross_revenue,cogs,tax_pct,tax_amount,returned_units,net_revenue
2023-01-04,2023,1,1,East,Consumer,Retail,Hardware,Delta Hub,H-8777,1,35071.07,0.1,31563.96,15587.51,0.05,1578.2,0,33142.16
2023-01-04,2023,1,1,North,Consumer,Online,Software Subscription,Gamma Suite,SS-2320,2,3383.74,0.0,6767.48,3153.29,0.12,812.1,0,7579.58
2023-01-04,2023,1,1,South,Consumer,Online,Training,Certification Prep,T-1320,1,1579.6,0.0,1579.6,662.55,0.18,284.33,0,1863.92
2023-01-04,2023,1,1,West,Consumer,Retail,Hardware,Zeta Box,H-4613,1,15917.41,0.15,13529.8,7734.4,0.18,2435.36,0,15965.16
2023-01-04,2023,1,1,West,Enterprise,Partner,Hardware,Epsilon Sensor,H-1444,1,22144.51,0.0,22144.51,10001.38,0.05,1107.23,0,23251.74
2023-01-04,2023,1,1,South,Enterprise,Online,Training,Webinar Pack,T-5133,1,2203.16,0.0,2203.16,858.55,0.0,0.0,0,2203.16
2023-01-04,2023,1,1,East,SMB,Partner,Software Subscription,Alpha SaaS,SS-3496,6,4385.45,0.05,24997.06,14492.95,0.12,2999.65,0,27996.71
2023-01-05,2023,1,1,East,SMB,Online,Professional Services,Integration,PS-2771,5,37941.43,0.05,180221.79,82660.85,0.05,9011.09,0,189232.88
2023-01-05,2023,1,1,East,SMB,Online,Professional Services,Custom Dev,PS-2983,1,10135.59,0.15,8615.26,3861.6,0.12,1033.83,1,1033.83
2023-01-05,2023,1,1,South,Consumer,Online,Software Subscription,Beta Cloud,SS-3506,1,6354.87,0.1,5719.38,3488.0,0.18,1029.49,0,6748.87
2023-01-05,2023,1,1,East,Consumer,Partner,Professional Services,Onboarding,PS-5569,1,32164.84,0.05,30556.6,13278.63,0.18,5500.19,0,36056.79
2023-01-05,2023,1,1,North,Consumer,Retail,Software Subscription,Gamma Suite,SS-5526,1,7557.91,0.05,7180.01,3557.2,0.05,359.0,0,7539.02
2023-01-05,2023,1,1,East,Consumer,Retail,Software Subscription,Alpha SaaS,SS-7625,1,8917.87,0.1,8026.08,3511.44,0.12,963.13,0,8989.21
2023-01-05,2023,1,1,South,Consumer,Online,Professional Services,Integration,PS-2958,1,43888.5,0.15,37305.23,18416.82,0.12,4476.63,0,41781.86
2023-01-05,2023,1,1,West,Consumer,Online,Software Subscription,Gamma Suite,SS-9751,3,3265.83,0.0,9797.49,5439.05,0.18,1763.55,0,11561.04
2023-01-05,2023,1,1,North,Consumer,Online,Software Subscription,Alpha SaaS,SS-5136,1,11410.64,0.0,11410.64,6056.86,0.0,0.0,0,11410.64
2023-01-05,2023,1,1,West,Enterprise,Online,Software Subscription,Gamma Suite,SS-7818,1,8063.18,0.05,7660.02,5081.67,0.12,919.2,0,8579.22
2023-01-05,2023,1,1,West,Consumer,Retail,Hardware,Zeta Box,H-2625,1,13311.52,0.0,13311.52,5270.64,0.0,0.0,0,13311.52
2023-01-05,2023,1,1,South,SMB,Online,Software Subscription,Beta Cloud,SS-5632,1,9029.88,0.15,7675.39,4113.37,0.05,383.77,0,8059.16
2023-01-05,2023,1,1,South,SMB,Partner,Professional Services,Onboarding,PS-1977,3,46945.8,0.0,140837.4,66990.91,0.18,25350.73,0,166188.14
2023-01-05,2023,1,1,East,Enterprise,Online,Hardware,Delta Hub,H-1653,1,34381.36,0.0,34381.36,23543.13,0.0,0.0,0,34381.36
2023-01-05,2023,1,1,East,Consumer,Online,Professional Services,Integration,PS-9502,8,17437.44,0.15,118574.56,74191.86,0.0,0.0,0,118574.56
2023-01-05,2023,1,1,South,Consumer,Online,Software Subscription,Beta Cloud,SS-9117,2,4882.18,0.05,9276.14,3109.58,0.12,1113.14,0,10389.27
2023-01-06,2023,1,1,West,Consumer,Online,Training,Certification Prep,T-9889,3,9905.56,0.05,28230.84,15531.58,0.0,0.0,0,28230.84
2023-01-06,2023,1,1,South,Enterprise,Online,Hardware,Delta Hub,H-1472,2,29354.87,0.1,52838.76,16140.64,0.18,9510.98,0,62349.74
2023-01-06,2023,1,1,West,Enterprise,Online,Software Subscription,Alpha SaaS,SS-9165,2,11326.53,0.05,21520.41,14894.23,0.05,1076.02,0,22596.43
2023-01-06,2023,1,1,North,Consumer,Online,Professional Services,Onboarding,PS-2143,2,29577.01,0.1,53238.61,21661.14,0.0,0.0,0,53238.61
2023-01-06,2023,1,1,South,SMB,Partner,Hardware,Delta Hub,H-8316,1,18804.96,0.05,17864.71,12025.47,0.05,893.24,0,18757.95
2023-01-06,2023,1,1,North,Consumer,Partner,Software Subscription,Beta Cloud,SS-8749,1,9052.28,0.15,7694.44,5327.07,0.18,1385.0,0,9079.44
2023-01-06,2023,1,1,North,Enterprise,Online,Software Subscription,Beta Cloud,SS-2633,1,7259.51,0.15,6170.58,4245.26,0.0,0.0,0,6170.58
2023-01-06,2023,1,1,West,Consumer,Retail,Hardware,Epsilon Sensor,H-9742,3,17666.45,0.1,47699.4,14994.77,0.0,0.0,0,47699.4
2023-01-07,2023,1,1,East,Consumer,Online,Software Subscription,Alpha SaaS,SS-2646,1,6436.79,0.0,6436.79,2686.37,0.12,772.41,0,7209.2
2023-01-07,2023,1,1,North,Consumer,Retail,Software Subscription,Alpha SaaS,SS-2293,1,8094.92,0.1,7285.43,2602.7,0.18,1311.38,0,8596.8
2023-01-07,2023,1,1,South,SMB,Partner,Hardware,Epsilon Sensor,H-9955,1,22669.19,0.15,19268.81,13195.51,0.12,2312.26,0,21581.07
2023-01-07,2023,1,1,South,Enterprise,Partner,Software Subscription,Beta Cloud,SS-6881,2,7748.12,0.15,13171.8,6036.93,0.0,0.0,0,13171.8
2023-01-07,2023,1,1,East,SMB,Online,Hardware,Epsilon Sensor,H-5689,2,14204.74,0.0,28409.47,15578.52,0.05,1420.47,0,29829.94
2023-01-07,2023,1,1,West,SMB,Online,Software Subscription,Gamma Suite,SS-6977,4,9323.6,0.0,37294.39,14183.73,0.12,4475.33,0,41769.72
2023-01-07,2023,1,1,West,SMB,Online,Professional Services,Integration,PS-5835,1,13988.82,0.0,13988.82,8416.52,0.05,699.44,0,14688.27
2023-01-07,2023,1,1,East,Enterprise,Partner,Professional Services,Integration,PS-2479,1,35901.76,0.15,30516.5,18297.83,0.12,3661.98,0,34178.48
2023-01-08,2023,1,1,West,Enterprise,Online,Software Subscription,Alpha SaaS,SS-6374,1,11152.56,0.15,9479.68,3989.77,0.18,1706.34,0,11186.02
2023-01-08,2023,1,1,North,Consumer,Partner,Software Subscription,Alpha SaaS,SS-9807,2,3356.64,0.1,6041.95,2825.52,0.05,302.1,0,6344.05
2023-01-08,2023,1,1,East,SMB,Retail,Training,Webinar Pack,T-1536,1,4687.52,0.0,4687.52,1592.55,0.12,562.5,0,5250.02
2023-01-08,2023,1,1,West,Consumer,Online,Software Subscription,Alpha SaaS,SS-8450,1,2916.73,0.0,2916.73,1792.97,0.05,145.84,0,3062.57
2023-01-08,2023,1,1,West,Consumer,Retail,Hardware,Zeta Box,H-4538,1,14319.95,0.1,12887.95,3881.0,0.05,644.4,0,13532.35
2023-01-08,2023,1,1,South,SMB,Online,Professional Services,Onboarding,PS-1243,1,38620.35,0.0,38620.35,12395.57,0.18,6951.66,0,45572.02
2023-01-08,2023,1,1,East,Consumer,Retail,Hardware,Delta Hub,H-8405,1,42816.63,0.15,36394.13,18509.35,0.18,6550.94,0,42945.08
2023-01-08,2023,1,1,North,Enterprise,Retail,Software Subscription,Alpha SaaS,SS-9032,1,9124.01,0.0,9124.01,2976.92,0.12,1094.88,0,10218.89
2023-01-08,2023,1,1,East,SMB,Online,Hardware,Epsilon Sensor,H-8433,2,22207.97,0.15,37753.55,21155.83,0.05,1887.68,0,39641.23
2023-01-09,2023,1,1,West,Consumer,Retail,Software Subscription,Gamma Suite,SS-2557,4,5125.48,0.15,17426.64,11661.81,0.0,0.0,0,17426.64
2023-01-09,2023,1,1,North,Consumer,Retail,Software Subscription,Alpha SaaS,SS-1982,1,7864.65,0.0,7864.65,5107.64,0.18,1415.64,0,9280.29
2023-01-09,2023,1,1,East,Enterprise,Retail,Software Subscription,Gamma Suite,SS-9313,1,4127.39,0.1,3714.65,1660.54,0.12,445.76,0,4160.41
2023-01-09,2023,1,1,West,SMB,Partner,Professional Services,Custom Dev,PS-1430,2,44060.5,0.0,88121.0,51205.31,0.12,10574.52,0,98695.52
2023-01-09,2023,1,1,South,Consumer,Online,Hardware,Delta Hub,H-3324,1,43872.41,0.05,41678.79,19502.88,0.12,5001.46,0,46680.25
2023-01-09,2023,1,1,South,Consumer,Partner,Hardware,Delta Hub,H-3549,1,29713.53,0.15,25256.5,11860.6,0.18,4546.17,0,29802.67
2023-01-09,2023,1,1,North,Consumer,Online,Software Subscription,Gamma Suite,SS-8972,1,7269.34,0.0,7269.34,2203.15,0.12,872.32,0,8141.66
2023-01-09,2023,1,1,East,SMB,Online,Software Subscription,Beta Cloud,SS-8055,1,3756.95,0.15,3193.41,1987.83,0.0,0.0,0,3193.41
2023-01-09,2023,1,1,East,Consumer,Online,Software Subscription,Beta Cloud,SS-8033,5,7734.0,0.0,38669.98,26546.17,0.05,1933.5,0,40603.48
2023-01-10,2023,1,1,East,SMB,Partner,Software Subscription,Alpha SaaS,SS-4986,4,6356.77,0.15,21613.0,9419.06,0.12,2593.56,0,24206.56
2023-01-10,2023,1,1,North,SMB,Online,Software Subscription,Beta Cloud,SS-6752,3,9273.79,0.0,27821.37,11194.97,0.05,1391.07,0,29212.44
2023-01-10,2023,1,1,East,SMB,Online,Professional Services,Integration,PS-8601,1,31343.07,0.1,28208.77,15717.83,0.12,3385.05,0,31593.82
2023-01-10,2023,1,1,East,Consumer,Online,Software Subscription,Beta Cloud,SS-5500,4,7914.2,0.0,31656.79,10217.42,0.12,3798.81,0,35455.61
2023-01-10,2023,1,1,West,Enterprise,Retail,Hardware,Epsilon Sensor,H-1672,1,37392.64,0.05,35523.0,17780.93,0.0,0.0,0,35523.0
2023-01-10,2023,1,1,West,SMB,Partner,Software Subscription,Gamma Suite,SS-3827,3,2391.42,0.1,6456.84,2347.05,0.12,774.82,0,7231.66
2023-01-10,2023,1,1,South,SMB,Retail,Software Subscription,Gamma Suite,SS-6482,4,2659.12,0.15,9041.0,5791.91,0.05,452.05,0,9493.05
2023-01-10,2023,1,1,East,Consumer,Online,Training,Certification Prep,T-7421,1,9045.45,0.15,7688.63,4741.31,0.05,384.43,0,8073.06
2023-01-10,2023,1,1,West,SMB,Retail,Hardware,Zeta Box,H-7937,1,5729.22,0.0,5729.22,3890.53,0.18,1031.26,0,6760.48
2023-01-10,2023,1,1,West,Consumer,Online,Professional Services,Custom Dev,PS-9843,1,9962.87,0.1,8966.58,3160.0,0.18,1613.98,0,10580.57
2023-01-10,2023,1,1,North,SMB,Retail,Training,Certification Prep,T-8170,1,14589.45,0.1,13130.5,5435.65,0.18,2363.49,0,15493.99
2023-01-10,2023,1,1,North,Enterprise,Retail,Training,Bootcamp,T-7026,3,11887.42,0.05,33879.15,16978.96,0.18,6098.25,0,39977.39
2023-01-10,2023,1,1,West,SMB,Online,Software Subscription,Gamma Suite,SS-8873,3,10741.17,0.0,32223.51,13341.34,0.05,1611.18,0,33834.68
2023-01-10,2023,1,1,West,Consumer,Online,Training,Bootcamp,T-8391,1,6852.13,0.0,6852.13,2701.87,0.0,0.0,0,6852.13
2023-01-11,2023,1,1,North,Enterprise,Retail,Hardware,Delta Hub,H-3254,1,41695.85,0.15,35441.47,17282.82,0.0,0.0,0,35441.47
2023-01-11,2023,1,1,North,Consumer,Online,Training,Certification Prep,T-9647,1,3144.95,0.0,3144.95,1471.62,0.18,566.09,0,3711.04
2023-01-11,2023,1,1,West,Consumer,Online,Hardware,Zeta Box,H-4963,1,16650.88,0.1,14985.79,6992.78,0.0,0.0,0,14985.79
2023-01-11,2023,1,1,South,Enterprise,Online,Professional Services,Custom Dev,PS-1333,5,41054.88,0.0,205274.41,122944.31,0.12,24632.93,0,229907.33
2023-01-11,2023,1,1,South,SMB,Retail,Professional Services,Custom Dev,PS-6447,1,25604.46,0.15,21763.79,10573.92,0.18,3917.48,0,25681.27
2023-01-11,2023,1,1,West,Consumer,Retail,Hardware,Epsilon Sensor,H-4302,1,12978.79,0.1,11680.91,5364.92,0.18,2102.56,0,13783.48
2023-01-11,2023,1,1,East,Consumer,Online,Professional Services,Custom Dev,PS-6438,2,30721.47,0.05,58370.8,38399.52,0.18,10506.74,0,68877.54
2023-01-11,2023,1,1,North,SMB,Online,Professional Services,Integration,PS-2353,1,39327.57,0.1,35394.81,14777.57,0.0,0.0,0,35394.81
2023-01-11,2023,1,1,East,Consumer,Retail,Software Subscription,Gamma Suite,SS-8272,7,5515.47,0.05,36677.87,15031.41,0.0,0.0,0,36677.87
2023-01-11,2023,1,1,East,Consumer,Retail,Hardware,Delta Hub,H-3339,6,32123.55,0.0,192741.33,117843.23,0.12,23128.96,0,215870.29
2023-01-11,2023,1,1,West,Consumer,Online,Software Subscription,Beta Cloud,SS-7095,1,6439.39,0.0,6439.39,3604.93,0.05,321.97,0,6761.36
2023-01-12,2023,1,1,North,Consumer,Online,Training,Bootcamp,T-5288,1,9760.34,0.15,8296.29,5530.24,0.18,1493.33,0,9789.62
2023-01-12,2023,1,1,North,Consumer,Online,Professional Services,Onboarding,PS-6236,1,36599.85,0.0,36599.85,23443.85,0.05,1829.99,0,38429.84
2023-01-12,2023,1,1,South,Consumer,Online,Software Subscription,Beta Cloud,SS-1430,1,5608.97,0.0,5608.97,3055.65,0.0,0.0,0,5608.97
2023-01-12,2023,1,1,South,SMB,Online,Software Subscription,Beta Cloud,SS-2208,1,3253.27,0.1,2927.94,1281.87,0.05,146.4,0,3074.34
2023-01-12,2023,1,1,North,Consumer,Partner,Professional Services,Custom Dev,PS-3507,1,56606.37,0.1,50945.73,33520.78,0.0,0.0,0,50945.73
2023-01-12,2023,1,1,East,SMB,Online,Software Subscription,Gamma Suite,SS-2530,1,7025.73,0.15,5971.87,3283.29,0.12,716.62,0,6688.5
2023-01-12,2023,1,1,East,SMB,Online,Software Subscription,Gamma Suite,SS-5336,4,8511.3,0.05,32342.94,21203.99,0.12,3881.15,0,36224.09
2023-01-12,2023,1,1,South,Consumer,Retail,Software Subscription,Beta Cloud,SS-2195,1,8886.14,0.0,8886.14,4822.19,0.12,1066.34,0,9952.47
2023-01-12,2023,1,1,South,Enterprise,Online,Software Subscription,Beta Cloud,SS-9437,1,7616.51,0.0,7616.51,2714.15,0.0,0.0,0,7616.51
2023-01-12,2023,1,1,South,SMB,Online,Professional Services,Onboarding,PS-6364,1,17871.37,0.1,16084.24,7828.62,0.12,1930.11,0,18014.34
2023-01-12,2023,1,1,North,Consumer,Online,Software Subscription,Gamma Suite,SS-6781,8,2486.58,0.15,16908.75,8255.44,0.0,0.0,0,16908.75
2023-01-13,2023,1,1,South,Enterprise,Retail,Professional Services,Integration,PS-1741,2,18122.08,0.0,36244.15,16474.4,0.18,6523.95,0,42768.1
2023-01-13,2023,1,1,North,Enterprise,Retail,Software Subscription,Alpha SaaS,SS-7453,1,5731.98,0.0,5731.98,2175.99,0.18,1031.76,0,6763.74
2023-01-13,2023,1,1,North,Consumer,Online,Hardware,Epsilon Sensor,H-3440,2,25620.23,0.0,51240.46,23426.21,0.12,6148.86,0,57389.31
2023-01-13,2023,1,1,South,Consumer,Online,Hardware,Epsilon Sensor,H-1272,1,31952.26,0.15,27159.42,17622.11,0.0,0.0,0,27159.42
2023-01-13,2023,1,1,North,SMB,Partner,Hardware,Delta Hub,H-1841,2,11820.48,0.05,22458.92,8065.23,0.05,1122.95,0,23581.86
2023-01-13,2023,1,1,West,Consumer,Online,Software Subscription,Alpha SaaS,SS-7765,2,8905.0,0.15,15138.5,8946.26,0.05,756.93,0,15895.43
2023-01-13,2023,1,1,East,Enterprise,Online,Software Subscription,Alpha SaaS,SS-8531,1,11121.24,0.15,9453.06,5409.97,0.12,1134.37,0,10587.42
2023-01-13,2023,1,1,North,Consumer,Online,Software Subscription,Beta Cloud,SS-5735,1,9049.01,0.1,8144.11,5484.9,0.12,977.29,0,9121.4
2023-01-14,2023,1,1,East,Consumer,Partner,Software Subscription,Beta Cloud,SS-3399,1,4904.53,0.05,4659.3,2620.34,0.18,838.67,0,5497.97
2023-01-14,2023,1,1,West,Consumer,Online,Software Subscription,Alpha SaaS,SS-4920,1,4424.58,0.0,4424.58,1504.71,0.12,530.95,0,4955.53
2023-01-14,2023,1,1,North,SMB,Online,Hardware,Delta Hub,H-7666,1,40225.9,0.0,40225.9,17235.47,0.0,0.0,0,40225.9
2023-01-14,2023,1,1,North,SMB,Online,Professional Services,Onboarding,PS-3868,2,56563.98,0.05,107471.55,66114.81,0.05,5373.58,0,112845.13
2023-01-14,2023,1,1,West,Enterprise,Partner,Software Subscription,Gamma Suite,SS-2758,1,11284.55,0.1,10156.09,5053.32,0.05,507.8,0,10663.9
2023-01-14,2023,1,1,South,Consumer,Online,Software Subscription,Beta Cloud,SS-5215,1,9185.98,0.15,7808.08,4707.6,0.05,390.4,0,8198.49
2023-01-14,2023,1,1,East,Consumer,Online,Software Subscription,Beta Cloud,SS-2562,1,3847.81,0.0,3847.81,1744.71,0.18,692.61,0,4540.42
2023-01-14,2023,1,1,West,Consumer,Retail,Software Subscription,Gamma Suite,SS-6890,2,8927.69,0.05,16962.6,9743.82,0.12,2035.51,0,18998.12
2023-01-14,2023,1,1,East,Enterprise,Online,Software Subscription,Alpha SaaS,SS-8834,1,3531.86,0.1,3178.67,2114.19,0.05,158.93,0,3337.6
2023-01-14,2023,1,1,East,SMB,Retail,Hardware,Zeta Box,H-6927,2,27566.75,0.1,49620.15,18898.46,0.05,2481.01,0,52101.16
2023-01-15,2023,1,1,West,Consumer,Retail,Professional Services,Integration,PS-2489,1,10893.06,0.05,10348.41,4995.38,0.0,0.0,0,10348.41
2023-01-15,2023,1,1,East,Consumer,Online,Software Subscription,Alpha SaaS,SS-4570,1,7783.11,0.0,7783.11,5244.52,0.0,0.0,0,7783.11
2023-01-15,2023,1,1,South,Consumer,Online,Software Subscription,Gamma Suite,SS-7887,1,5744.61,0.05,5457.38,2457.23,0.05,272.87,0,5730.25
2023-01-15,2023,1,1,South,Consumer,Online,Hardware,Zeta Box,H-4648,5,35247.18,0.15,149800.5,77563.42,0.18,26964.09,0,176764.59
2023-01-15,2023,1,1,North,Consumer,Online,Training,Certification Prep,T-2848,4,14139.21,0.0,56556.85,22411.59,0.0,0.0,0,56556.85
2023-01-15,2023,1,1,North,SMB,Retail,Software Subscription,Gamma Suite,SS-1724,1,6022.65,0.0,6022.65,2144.39,0.12,722.72,0,6745.37
2023-01-15,2023,1,1,West,SMB,Online,Professional Services,Integration,PS-4881,2,42331.05,0.0,84662.09,34716.67,0.05,4233.1,0,88895.2
2023-01-16,2023,1,1,South,Consumer,Partner,Training,Certification Prep,T-7244,1,3514.44,0.05,3338.72,1247.18,0.18,600.97,0,3939.68
2023-01-16,2023,1,1,North,Enterprise,Online,Hardware,Delta Hub,H-7761,1,27291.47,0.0,27291.47,11792.79,0.0,0.0,0,27291.47
2023-01-16,2023,1,1,West,Consumer,Retail,Software Subscription,Beta Cloud,SS-7179,1,8736.72,0.1,7863.05,4637.01,0.05,393.15,0,8256.2
2023-01-16,2023,1,1,West,Consumer,Partner,Software Subscription,Alpha SaaS,SS-2922,4,9468.79,0.15,32193.89,12291.8,0.05,1609.69,0,33803.59
2023-01-16,2023,1,1,East,Consumer,Online,Software Subscription,Beta Cloud,SS-6892,4,7128.17,0.05,27087.03,16378.21,0.12,3250.44,0,30337.47
2023-01-16,2023,1,1,South,Consumer,Online,Software Subscription,Alpha SaaS,SS-1265,2,4607.74,0.0,9215.48,3487.85,0.05,460.77,0,9676.26
2023-01-16,2023,1,1,West,Consumer,Retail,Hardware,Epsilon Sensor,H-9005,1,30667.78,0.0,30667.78,11276.73,0.18,5520.2,0,36187.98
2023-01-16,2023,1,1,West,Enterprise,Partner,Hardware,Delta Hub,H-1794,1,21495.69,0.15,18271.34,6585.21,0.05,913.57,0,19184.9
2023-01-16,2023,1,1,South,SMB,Retail,Hardware,Epsilon Sensor,H-8993,2,26288.5,0.15,44690.45,18318.45,0.12,5362.85,1,27708.08
2023-01-16,2023,1,1,West,SMB,Retail,Training,Bootcamp,T-2578,4,4907.65,0.0,19630.58,7988.27,0.18,3533.5,0,23164.09
2023-01-16,2023,1,1,West,Consumer,Online,Hardware,Epsilon Sensor,H-2320,4,39328.77,0.05,149449.31,67381.89,0.18,26900.88,0,176350.19
2023-01-16,2023,1,1,North,Consumer,Online,Software Subscription,Beta Cloud,SS-2562,3,10947.91,0.15,27917.18,18286.36,0.18,5025.09,0,32942.27
2023-01-16,2023,1,1,West,SMB,Online,Hardware,Zeta Box,H-1539,2,39017.1,0.0,78034.21,46890.9,0.18,14046.16,0,92080.37
2023-01-16,2023,1,1,South,SMB,Online,Professional Services,Custom Dev,PS-9856,1,15277.43,0.15,12985.82,4303.12,0.12,1558.3,0,14544.11
2023-01-17,2023,1,1,South,SMB,Online,Professional Services,Custom Dev,PS-7499,1,40974.39,0.05,38925.67,19316.53,0.12,4671.08,0,43596.75
2023-01-17,2023,1,1,South,Consumer,Online,Software Subscription,Gamma Suite,SS-5839,2,9980.55,0.15,16966.94,10410.17,0.05,848.35,0,17815.28
2023-01-17,2023,1,1,South,Consumer,Online,Software Subscription,Beta Cloud,SS-5419,1,3022.31,0.1,2720.08,1259.99,0.0,0.0,0,2720.08
2023-01-17,2023,1,1,East,SMB,Retail,Professional Services,Onboarding,PS-5781,1,45691.88,0.0,45691.88,24161.14,0.05,2284.59,0,47976.47
2023-01-17,2023,1,1,North,Consumer,Online,Software Subscription,Alpha SaaS,SS-8121,1,4759.62,0.0,4759.62,2800.37,0.18,856.73,0,5616.35
2023-01-17,2023,1,1,North,Consumer,Online,Training,Webinar Pack,T-7224,2,12508.92,0.15,21265.16,14666.37,0.05,1063.26,0,22328.42
2023-01-17,2023,1,1,East,SMB,Online,Software Subscription,Beta Cloud,SS-6228,2,4914.48,0.0,9828.96,4229.94,0.12,1179.48,0,11008.44
